T,loc,demand,price
0,Veracruz,392641251.125,19.039605868984207
0,Veracruz de Ignacio de la Llave_aggregate(167),2912824725.0,17.850142837455447
0,Victoria,256037359.4375,17.26517912135198
0,Yucatán_aggregate(86),1033779712.25,18.34870764671922
0,Zacatecas,62978494.921875,17.907350061218242
0,Zacatecas_aggregate(40),225424487.125,18.114523891348803
0,Zapopan,549583970.5,19.359321890837723
1,Acapulco de Juárez,331210618.75,21.830858687387142
1,Aguascalientes,545682152.125,20.71741664772503
1,Aguascalientes_aggregate(10),173667687.75,20.95151529065775
1,Ahome,326046113.125,18.210428585790595
1,Apodaca,446278957.625,17.32665970148681
1,Bahía de Banderas,54537665.875,17.06799848475745
1,Baja California Sur_aggregate(5),536824314.75,21.94141535833189
1,Baja California_aggregate(5),1295468686.75,19.206810137585542
1,Benito Juárez,760783541.875,18.73272221263418
1,Cajeme,277823841.1875,16.60308439077229
1,Campeche,140815271.65625,16.89880520675544
1,Campeche_aggregate(10),107381383.3125,17.31743396180991
1,Carmen,111787069.71875,17.79791031339095
1,Celaya,271655465.75,18.61781915194373
1,Centro,322396225.4375,16.188248137908772
1,Chiapas_aggregate(101),797727704.375,17.47928520623233
1,Chihuahua,709362410.125,15.991173253769087
1,Chihuahua_aggregate(31),636087361.25,18.918011485838342
1,Chilpancingo de los Bravo,124979342.28125,18.54350385989105
1,Ciudad de México_aggregate(14),3880228951.0,21.17711360748041
1,Coahuila de Zaragoza_aggregate(27),581772212.375,19.398682158906364
1,Colima_aggregate(10),1839293521.5,17.26399319066657
1,Cuautla,105388782.109375,15.985614042283308
1,Cuernavaca,237404229.9375,17.71710105897712
1,Culiacán,831693290.875,17.80433778960244
1,Cárdenas,83579253.15625,16.487080977946235
1,Durango,709375143.75,18.126109820157467
1,Durango_aggregate(26),449551988.25,21.242803238236853
1,Ecatepec de Morelos,620976834.125,16.565826012217933
1,Fresnillo,89967563.6875,18.91377865900903
1,Guadalajara,618557716.5,19.06567298766879
1,Guadalupe,413034415.25,21.16092976737222
1,Guanajuato_aggregate(39),1206834115.25,17.947306714286224
1,Guerrero_aggregate(66),577636931.625,21.31020543718221
