T,mun,demand,price,freight_min,freight_mean,freight_median,freight_max
0,Acapulco de Juárez,299132472.4375,23.697127102357413,6.486304562322293,8.809038855121123,6.58344908514853,25.355925999522434
0,Aguascalientes,516391480.125,22.29668293304639,6.364458355845295,8.527234417716484,6.449273509042468,23.85745073835964
0,Aguascalientes_aggregate(10),167665351.9375,22.383650204931826,6.360346799794998,8.533761933596582,6.44497516848553,23.950505719277054
0,Ahome,303974836.625,21.126780008321468,6.084890306333838,8.12055864698317,6.133686733854002,22.605654608903972
0,Apodaca,388365352.125,21.232641541657824,6.390397568990728,8.429859863868126,6.491116098389743,22.71892644957387
0,Bahía de Banderas,50034472.1171875,20.998463469160757,6.286904916053398,8.295256414179775,6.351850759499536,22.46835591200201
0,Baja California Sur_aggregate(5),505806849.625,23.014819043831423,0.29783739138436527,9.969574745434425,9.1674224359702,24.625856376899623
0,Baja California_aggregate(5),1171572890.5,21.372888448671613,6.7221780965341225,8.7103879573693,6.894537479909566,22.86899064007863
0,Benito Juárez,801635118.625,22.309473849474717,6.804427783693169,8.961808396896753,6.9856297183096485,23.871137018937947
0,Cajeme,252865141.0625,20.777022664296567,6.0258577358284935,8.024266815661967,6.075147794388039,22.23141425079733
0,Campeche,132097549.71875,21.487966547062264,6.712469162478206,8.77327459248694,6.871664862736876,22.992124205356625
0,Campeche_aggregate(10),102284044.34375,21.642061820257037,6.713031119907715,8.792140188482092,6.8723291625864436,23.15700614767503
0,Carmen,106987169.71875,21.951940190739258,6.688301608305143,8.804289932106197,6.840986892712373,23.48857600409101
0,Celaya,247657065.375,21.407937895899202,6.422619110231995,8.477424225465084,6.5156564486563875,22.906493548612147
0,Centro,278044295.6875,20.23785814207189,6.652456657175814,8.564621945951453,6.795353908975877,21.654508212016925
0,Chiapas_aggregate(123),758599929.875,21.100278063772212,6.682058578544914,8.696361524515758,6.831731860307377,22.57729752823627
0,Chihuahua,630272057.875,19.64864757139761,6.1453772538876565,8.007323787843132,6.21464195547751,21.024052901395443
0,Chihuahua_aggregate(65),608845883.0,20.877820595906904,6.145995820529611,8.153627685876593,6.214137650881859,22.33926803762039
0,Chilpancingo de los Bravo,111219017.375,22.37572813822696,6.487498461370915,8.653738788200197,6.586713281924726,23.94202910790285
0,Ciudad de México_aggregate(14),3488520969.0,23.08472182162398,6.480728254037761,8.733100310939419,6.5835607231667606,24.70065234913766
0,Coahuila de Zaragoza_aggregate(36),539163680.0,21.989737481824566,6.330565785328902,8.463193787341417,6.425033992122704,23.529019105552287
0,Colima_aggregate(10),1629785213.25,20.9439166814611,6.349521822651353,8.348315895827394,6.42151587225185,22.40999084916338
0,Corregidora,106605395.9375,21.789040866717873,6.433681265471326,8.533633824165042,6.529094493703443,23.314273727388127
0,Cuautla,91197088.40625,20.222947981577903,6.491182668898601,8.402763528798582,6.595092120062671,21.63855434028836
0,Cuernavaca,200055810.78125,20.973096055572785,6.482363098792049,8.483298743873867,6.5844867820474375,22.44121277946288
0,Culiacán,701000272.375,21.888149516656455,6.16186908737778,8.284218515021132,6.2187154603733,23.42031998282241
0,Cárdenas,74938936.25,20.37413496504751,6.636159441943423,8.564600093825549,6.7749117182733105,21.800324412600837
0,Durango,640977217.75,21.25703863820994,6.261511174266652,8.305417204190226,6.333734424009356,22.745031342884637
0,Durango_aggregate(37),415599140.625,22.6629654051191,6.2609477870266526,8.473147814069257,6.33629605975566,24.249372983477436
0,Ecatepec de Morelos,539796581.75,20.623133962971615,6.481982950002324,8.441882264991218,6.585674414328702,22.06675334037963
0,Fresnillo,75376714.71875,21.707694704177072,6.327299343027749,8.422324643972328,6.409178432305561,23.227233333469467
0,Guadalajara,536412360.5,21.880654493619737,6.3469556055583105,8.45915682545264,6.424121874695845,23.41230030817312
0,Guadalupe,376242557.0625,22.945976237590813,6.348008334929449,8.589288556889601,6.432397426353255,24.55219457422217
0,Guanajuato_aggregate(43),1056050109.0,21.066341672638814,6.411855386207049,8.426353849283933,6.503014103021053,22.540985589723533
0,Guerrero_aggregate(79),519687990.5,23.48985032008243,6.481639978292805,8.780579993922792,6.580050340195619,25.1341398424882
0,Gustavo A. Madero,664607958.375,23.04048900662402,6.480613971512688,8.727861050919678,6.58380785525522,24.653323237087704
0,Gómez Palacio,318923279.4375,21.932722458252684,6.2802287285565095,8.405912010754697,6.361335932110153,23.468013030330372
0,Hermosillo,551416590.5,21.131079896110318,5.9533836472377875,7.998669936711762,6.003508702988798,22.610255488838042
0,Hidalgo_aggregate(83),1646119862.5,22.077428134392928,6.482200314011016,8.615519635905647,6.587471297674482,23.622848103800436
0,Irapuato,287884463.9375,22.3369334710678,6.404893891474795,8.570540907975204,6.494526463775584,23.900518814042545
0,Iztapalapa,1049828552.75,23.02632119378851,6.483556074646795,8.728956785288823,6.58703867401755,24.63816367735371
0,Jalisco_aggregate(123),1749195064.0,21.66573427626679,6.347713753913306,8.434194688703375,6.424589891928063,23.182335675605465
0,Jiutepec,114300110.4375,20.205356224407314,6.484729012512494,8.394323103588643,6.5872728374720895,21.619731160115826
0,Juárez,1017714849.0,19.404759155788405,6.093574416175858,7.931853158507705,6.164928575132785,20.763092296693593
0,León,898856515.5,22.161915900714906,6.39168119510457,8.53717607520784,6.47982417285248,23.713250013764952
0,Matamoros,393191032.5,19.41172597364649,6.47788805186856,8.298415347968149,6.594187470197838,20.770546791801745
0,Mazatlán,368901938.25,22.57051077729115,6.216552298872462,8.416721996273878,6.2777604501837345,24.150446531701533
