T,loc,demand,price
0,Acapulco de Juárez,303631521.125,20.211317693758737
0,Aguascalientes,516375893.625,19.363899043202608
0,Aguascalientes_aggregate(10),168361282.46875,19.453807369319158
0,Ahome,292449983.25,18.813005521390565
0,Apodaca,390700398.5,18.51782558017995
0,Bahía de Banderas,50303723.171875,18.148373502307077
0,Baja California Sur_aggregate(5),506912183.125,20.17503448118097
0,Baja California_aggregate(5),1173661798.0,17.97067594118233
0,Benito Juárez,677667755.5,19.26926802618488
0,Cajeme,247912605.5625,17.98956951373218
0,Campeche,132018251.28125,18.398779696679153
0,Campeche_aggregate(10),102236913.875,18.575941460631636
0,Carmen,106846707.34375,18.714079652404394
0,Celaya,248550065.0,18.616571001273424
0,Centro,278637053.9375,17.27752880979882
0,Chiapas_aggregate(101),747798471.125,18.372572208519937
0,Chihuahua,642814455.625,16.692085456914157
0,Chihuahua_aggregate(31),583270987.375,17.730385195009823
0,Chilpancingo de los Bravo,112085733.0,19.075875285723637
0,Ciudad de México_aggregate(14),3488757595.0,19.55181276082685
0,Coahuila de Zaragoza_aggregate(27),536462758.875,18.690100945341054
0,Colima_aggregate(10),1632902880.75,17.88092302974182
0,Cuautla,91410893.75,17.34829320413382
0,Cuernavaca,200694488.6875,18.012227460362325
0,Culiacán,708780201.75,18.654908461835635
0,Cárdenas,73840325.453125,17.409004245244542
0,Durango,647852938.625,18.583925396986803
0,Durango_aggregate(26),408266342.6875,19.697333469849873
0,Ecatepec de Morelos,542405679.0,17.54531513327814
0,Fresnillo,77099495.1875,18.9194379450558
0,Guadalajara,538414509.375,18.951610881623253
0,Guadalupe,377432303.375,19.91871844609017
0,Guanajuato_aggregate(39),1054312503.75,18.34046147910071
0,Guerrero_aggregate(66),514537695.125,20.02528320922139
0,Gustavo A. Madero,664850496.25,19.540484270694524
0,Gómez Palacio,323291857.875,19.075485918020092
0,Hermosillo,568154478.625,18.174107589031138
0,Hidalgo_aggregate(58),1632953896.0,18.74567872961226
0,Irapuato,289315884.4375,19.426952309722058
0,Iztapalapa,1053001792.25,19.483592886794547
0,Jalisco_aggregate(106),1746531370.0,18.780332138224562
0,Jiutepec,114596601.6875,17.309616667072984
0,Juárez,1030739976.25,16.52967723656462
0,León,904965664.25,19.32443349225702
0,Matamoros,394501592.6875,16.7292301170193
0,Mazatlán,377971596.4375,19.203317463858845
0,Michoacán de Ocampo_aggregate(102),1407496860.25,18.373742665965008
0,Monterrey,676777273.0,19.999408376429134
0,Morelia,430705528.875,18.792665115798258
0,Morelos_aggregate(32),485841645.625,17.363948935345825
0,Mérida,954691903.5,19.82780991372016
0,México_aggregate(117),4254153511.0,18.18487901511494
0,Nayarit_aggregate(17),99872470.328125,17.94595411956343
0,Nogales,160973831.96875,18.45278512912132
0,Nuevo Laredo,324028895.625,16.93223012563351
0,Nuevo León_aggregate(33),1852321850.0,18.961680012264893
0,Oaxaca de Juárez,128242338.5625,19.08993378902662
0,Oaxaca_aggregate(159),873718987.5,18.625555591458024
0,Pachuca de Soto,336349903.8125,17.325848254721812
0,Puebla,600004894.875,17.037140746430165
0,Puebla_aggregate(137),1196013988.5,18.683540353886556
0,Querétaro,560109679.125,18.692369749381825
0,Querétaro_aggregate(12),339796783.0625,17.729084113304797
0,Quintana Roo_aggregate(9),325784677.0625,19.42494992484748
0,Reynosa,527219124.75,16.756345881283508
0,Saltillo,342122322.375,17.86224264561253
0,San Juan del Río,134200733.3125,17.141083499991996
0,San Luis Potosí,482676816.625,19.07966389060103
0,San Luis Potosí_aggregate(40),390699362.125,17.910290963847437
0,Sinaloa_aggregate(15),446781018.75,19.71906822075401
0,Soledad de Graciano Sánchez,180491284.8125,18.264114690146872
0,Solidaridad,245052614.1875,19.502890967822943
0,Sonora_aggregate(30),611354180.5,19.545385920302152
0,Tabasco_aggregate(15),337843103.4375,17.49629306304881
0,Tamaulipas_aggregate(26),928227972.5,16.553027133889795
0,Tepic,115523711.84375,17.972229456751126
0,Tijuana,1347935720.75,17.59245978833438
0,Tlaxcala_aggregate(57),592147946.0,18.596462525750777
0,Torreón,280932208.5,18.87677039779375
0,Tuxtla Gutiérrez,208621419.0,18.51603107374551
0,Veracruz,392597001.625,19.040797745540285
0,Veracruz de Ignacio de la Llave_aggregate(167),2903162874.5,17.886604966105278
0,Victoria,254902635.1875,17.343283235183474
0,Yucatán_aggregate(86),1036599285.0,18.36869326608756
0,Zacatecas,63003291.640625,17.907543822332652
0,Zacatecas_aggregate(40),225565654.75,18.09905992264203
0,Zapopan,549458970.625,19.33027574966114
1,Acapulco de Juárez,331276560.6875,21.844978571166447
1,Aguascalientes,545628228.375,20.703552809541275
1,Aguascalientes_aggregate(10),173147699.34375,20.92441191128908
1,Ahome,325797461.25,18.20485697549501
1,Apodaca,447214320.875,17.36401892882026
1,Bahía de Banderas,54384260.265625,17.100121976205887
1,Baja California Sur_aggregate(5),537021865.5,21.928085426904847
1,Baja California_aggregate(5),1298972386.5,19.241651294537668
1,Benito Juárez,757813920.375,18.75169979497819
1,Cajeme,277957796.9375,16.625540096041302
1,Campeche,141137961.3125,16.903157803999598
1,Campeche_aggregate(10),107206449.65625,17.333372666906993
1,Carmen,112132095.5625,17.784377078563796
1,Celaya,272183383.3125,18.618910768736935
1,Centro,321717097.375,16.168462929246612
1,Chiapas_aggregate(101),796030873.375,17.455346974381186
1,Chihuahua,707619008.875,15.98839005974214
1,Chihuahua_aggregate(31),638001677.5,18.926172639576556
1,Chilpancingo de los Bravo,124367806.40625,18.615508581484157
1,Ciudad de México_aggregate(14),3889099938.0,21.198720224348005
1,Coahuila de Zaragoza_aggregate(27),584362153.75,19.473804861354196
