T,loc,demand,price
0,Acapulco de Juárez,302708948.625,20.215354828609858
0,Aguascalientes,515947243.25,19.384851546958963
0,Aguascalientes_aggregate(10),168023758.53125,19.45988469662046
0,Ahome,291879461.6875,18.734189649145684
0,Apodaca,390864302.5,18.45920760412438
0,Bahía de Banderas,50161457.6796875,18.153986657894777
0,Baja California Sur_aggregate(5),506583463.5,20.189512500338925
0,Baja California_aggregate(5),1174588064.75,17.99131481041551
0,Benito Juárez,678086504.375,19.209251687848152
0,Cajeme,248371565.3125,17.95137871882224
0,Campeche,132113907.09375,18.39276539215474
0,Campeche_aggregate(10),102229381.65625,18.5654713889763
0,Carmen,106888242.4375,18.72960407354852
0,Celaya,248635449.375,18.60536043729454
0,Centro,278742828.875,17.255934383176637
0,Chiapas_aggregate(101),748486165.0,18.36749619892367
0,Chihuahua,643383973.25,16.682335572402547
0,Chihuahua_aggregate(31),582764673.125,17.767684046922515
0,Chilpancingo de los Bravo,111980961.3125,19.008323378068415
0,Ciudad de México_aggregate(14),3486352720.0,19.552977273080852
0,Coahuila de Zaragoza_aggregate(27),536590594.375,18.761550569493732
0,Colima_aggregate(10),1631132073.75,17.837160556922882
0,Cuautla,91572083.6875,17.33067957908
0,Cuernavaca,200354998.4375,17.95582503242313
0,Culiacán,707579144.5,18.57671780408957
0,Cárdenas,73844630.5625,17.34373996366565
0,Durango,647472144.875,18.56384262881738
0,Durango_aggregate(26),406850669.125,19.66098180555009
0,Ecatepec de Morelos,543368202.0,17.516419820903863
0,Fresnillo,77141423.8125,18.88243892453225
0,Guadalajara,538767445.625,18.89413427465533
0,Guadalupe,378363974.625,19.96416331876687
0,Guanajuato_aggregate(39),1051427223.5,18.303295945476325
0,Guerrero_aggregate(66),515454000.25,20.037782900808754
0,Gustavo A. Madero,663941768.875,19.528905816850763
0,Gómez Palacio,322511670.25,19.090970494716156
0,Hermosillo,568231872.875,18.229898710644086
0,Hidalgo_aggregate(58),1631879513.25,18.75581390328709
0,Irapuato,288707727.75,19.439252066515007
0,Iztapalapa,1052918215.75,19.51286227212568
0,Jalisco_aggregate(106),1745820168.0,18.79261824992743
0,Jiutepec,114693730.90625,17.310468658642215
0,Juárez,1029721058.5,16.541758092661674
0,León,904428231.25,19.31758007743164
0,Matamoros,395224493.625,16.733511945002505
0,Mazatlán,378774067.0,19.231221272305863
0,Michoacán de Ocampo_aggregate(102),1409036178.25,18.324285690934367
0,Monterrey,677015018.5,19.95264187570408
0,Morelia,429436399.375,18.86903779063132
0,Morelos_aggregate(32),486482802.75,17.358287599182766
0,Mérida,956840925.75,19.831463367924318
0,México_aggregate(117),4260806301.0,18.074496570853366
0,Nayarit_aggregate(17),99836229.625,17.9442825677254
0,Nogales,161112926.59375,18.506049158921854
0,Nuevo Laredo,324700229.125,16.939204798131687
0,Nuevo León_aggregate(33),1849840336.5,18.95745286118967
0,Oaxaca de Juárez,128137653.90625,19.097868312887297
0,Oaxaca_aggregate(159),873669368.5,18.603341953143733
0,Pachuca de Soto,335875104.375,17.324587420089546
0,Puebla,601255879.0,17.035165387905987
0,Puebla_aggregate(137),1196831718.25,18.69287295066702
0,Querétaro,558207873.0,18.7187578759162
0,Querétaro_aggregate(12),339973556.5625,17.860102585594447
0,Quintana Roo_aggregate(9),325419241.0625,19.478040105354882
0,Reynosa,527158991.0,16.768556328637622
0,Saltillo,341934958.375,17.77514276712586
0,San Juan del Río,134657637.53125,17.135835185484535
0,San Luis Potosí,482587933.125,19.06399925257747
0,San Luis Potosí_aggregate(40),391598556.1875,17.907059187237802
0,Sinaloa_aggregate(15),447631612.375,19.746996689293955
0,Soledad de Graciano Sánchez,179971807.28125,18.35917579992123
0,Solidaridad,245531922.5,19.506987895596726
0,Sonora_aggregate(30),611496405.75,19.589810566250364
0,Tabasco_aggregate(15),338426810.75,17.5021986486718
0,Tamaulipas_aggregate(26),928444192.5,16.544257111664884
0,Tepic,115319611.53125,17.9769800209254
0,Tijuana,1348480383.75,17.68915252976357
0,Tlaxcala_aggregate(57),594263998.5,18.57142349247172
0,Torreón,280890773.5625,18.924933870790674
0,Tuxtla Gutiérrez,208543252.9375,18.49355022639511
0,Veracruz,392593177.3125,19.02267510640153
0,Veracruz de Ignacio de la Llave_aggregate(167),2903050154.0,17.811120089574594
0,Victoria,255224303.875,17.32145349292392
0,Yucatán_aggregate(86),1040756450.25,18.347119056628035
0,Zacatecas,62778870.078125,17.908575917882672
0,Zacatecas_aggregate(40),224991892.1875,18.07795701698044
0,Zapopan,549773305.875,19.372773100664126
1,Acapulco de Juárez,330554175.375,21.86613575388479
1,Aguascalientes,545667463.75,20.683502705152016
1,Aguascalientes_aggregate(10),172895248.90625,20.9612990090134
1,Ahome,326205319.75,18.10138093261587
1,Apodaca,446994361.25,17.31518962232368
1,Bahía de Banderas,54237340.015625,17.060248085611732
1,Baja California Sur_aggregate(5),535396577.625,21.951755526523126
1,Baja California_aggregate(5),1295650063.0,19.263556534341358
1,Benito Juárez,761482904.25,18.71528791674249
1,Cajeme,278731726.4375,16.572809028486517
1,Campeche,141612633.75,16.893535740916185
1,Campeche_aggregate(10),107221767.21875,17.3272980895771
1,Carmen,112176799.5625,17.790962112753473
1,Celaya,271944699.6875,18.615494758790746
1,Centro,322385766.375,16.147345554633205
1,Chiapas_aggregate(101),799001791.875,17.500091971594937
1,Chihuahua,708272731.5,15.983188960896658
