T,loc,demand,price
0,Acapulco de Juárez,303037515.1875,20.191470888439756
0,Aguascalientes,516373947.5,19.401748613045612
0,Aguascalientes_aggregate(10),167838513.1875,19.48532141833925
0,Ahome,292344464.0625,18.638448243495542
0,Apodaca,390649352.3125,18.441612045108755
0,Bahía de Banderas,50269046.1875,18.18434570785344
0,Baja California Sur_aggregate(5),506802684.0,20.187959280848798
0,Baja California_aggregate(5),1173662126.5,18.01703901581734
0,Benito Juárez,677568616.25,19.191268219969558
0,Cajeme,248313392.75,17.98816248147431
0,Campeche,132190645.25,18.395917958585162
0,Campeche_aggregate(10),102368680.875,18.516635064179077
0,Carmen,106938231.9375,18.746214730162276
0,Celaya,248929816.1875,18.549590399589817
0,Centro,278551247.375,17.21456446588004
0,Chiapas_aggregate(101),747209520.25,18.337071848288492
0,Chihuahua,642720942.5,16.687597613230686
0,Chihuahua_aggregate(31),583112995.125,17.789377034908636
0,Chilpancingo de los Bravo,112083121.09375,18.87918636849131
0,Ciudad de México_aggregate(14),3493498632.0,19.571064807155853
0,Coahuila de Zaragoza_aggregate(27),535819370.375,18.70154475766575
0,Colima_aggregate(10),1632524828.5,17.813528212180703
0,Cuautla,91423812.5,17.328653147926502
0,Cuernavaca,200080622.59375,17.951121902672586
0,Culiacán,708291877.0,18.583870221849597
0,Cárdenas,73686791.0625,17.326624152572265
0,Durango,647478710.25,18.47022208172931
0,Durango_aggregate(26),406429408.1875,19.725199832820145
0,Ecatepec de Morelos,543047826.875,17.528207196097444
0,Fresnillo,77157170.828125,18.90952397760137
0,Guadalajara,539116148.25,18.88884561727903
0,Guadalupe,378223903.3125,19.951329486258768
0,Guanajuato_aggregate(39),1053980879.0,18.257372291197907
0,Guerrero_aggregate(66),515155739.875,20.032676155244978
0,Gustavo A. Madero,664147382.625,19.55432984424754
0,Gómez Palacio,322428262.9375,18.976289094108242
0,Hermosillo,567733656.0,18.207068514793978
0,Hidalgo_aggregate(58),1628661663.0,18.780619037070608
0,Irapuato,288669852.6875,19.454621357569152
0,Iztapalapa,1052980218.0,19.498916182987738
0,Jalisco_aggregate(106),1745814842.0,18.80122438832569
0,Jiutepec,114623024.21875,17.310116821038967
0,Juárez,1031266996.5,16.53729993746073
0,León,905158142.25,19.338016920418802
0,Matamoros,395017158.25,16.73285332676424
0,Mazatlán,379000280.625,19.24741957176814
0,Michoacán de Ocampo_aggregate(102),1406649540.0,18.277395226106577
0,Monterrey,677986373.125,19.99298405425767
0,Morelia,430408738.875,18.81277255185
0,Morelos_aggregate(32),486267036.5,17.38053925821514
0,Mérida,955407004.0,19.848895120183
0,México_aggregate(117),4256465333.0,18.107739392114205
0,Nayarit_aggregate(17),99715678.40625,17.9464115354638
0,Nogales,161201291.03125,18.54597290877137
0,Nuevo Laredo,324421698.5625,16.927655815145915
0,Nuevo León_aggregate(33),1848627472.0,18.90480509654954
0,Oaxaca de Juárez,128216386.1875,18.956104283289125
0,Oaxaca_aggregate(159),874083680.0,18.551057218954945
0,Pachuca de Soto,336230554.4375,17.261842837920806
0,Puebla,600388127.875,17.031627355596854
0,Puebla_aggregate(137),1198306212.0,18.73652419332263
0,Querétaro,558202860.25,18.748464267722536
0,Querétaro_aggregate(12),339771284.5,17.77680434727958
0,Quintana Roo_aggregate(9),326075984.375,19.400760880606487
0,Reynosa,527500977.625,16.735545611148318
0,Saltillo,341951991.875,17.761764305218602
0,San Juan del Río,134440423.46875,17.133054610156194
0,San Luis Potosí,482792536.75,19.135268822476597
0,San Luis Potosí_aggregate(40),390807135.25,17.822978367862078
0,Sinaloa_aggregate(15),447881360.0,19.82027155665768
0,Soledad de Graciano Sánchez,180059412.5,18.32808996340993
0,Solidaridad,245449616.25,19.514344935087145
0,Sonora_aggregate(30),611647964.875,19.60937300870015
0,Tabasco_aggregate(15),338630396.0,17.4317586314626
0,Tamaulipas_aggregate(26),928363566.25,16.523362825336967
0,Tepic,115509271.0,17.98438830311571
0,Tijuana,1348962815.0,17.69603159037018
0,Tlaxcala_aggregate(57),593461419.375,18.613622868861466
0,Torreón,281022128.625,18.884863222367745
0,Tuxtla Gutiérrez,208774889.0625,18.3865335140714
0,Veracruz,392898667.3125,19.04932319057958
0,Veracruz de Ignacio de la Llave_aggregate(167),2903220665.5,17.806554543235382
0,Victoria,255666039.5625,17.311982340695298
0,Yucatán_aggregate(86),1038288439.75,18.287746890430327
0,Zacatecas,62765416.234375,17.908699657992454
0,Zacatecas_aggregate(40),225097942.25,18.029572360127194
0,Zapopan,548935654.375,19.31873526921811
1,Acapulco de Juárez,332557901.875,21.84786500567549
1,Aguascalientes,546351754.0,20.751751290267045
1,Aguascalientes_aggregate(10),173521335.5625,20.96972144626117
1,Ahome,327562955.4375,18.0223095283837
1,Apodaca,445126244.625,17.271163754330793
1,Bahía de Banderas,54549957.953125,17.04822464711586
1,Baja California Sur_aggregate(5),536624623.125,21.935881142859788
1,Baja California_aggregate(5),1293881451.75,19.300188212213357
1,Benito Juárez,761316943.125,18.699672221908404
1,Cajeme,279495670.125,16.624954091899287
1,Campeche,141253555.6875,16.904716200890455
1,Campeche_aggregate(10),107401067.59375,17.271821419396645
1,Carmen,112123860.59375,17.79072560677224
1,Celaya,273611855.5,18.542331758862755
1,Centro,320373915.75,16.116227278393954
1,Chiapas_aggregate(101),799188112.5,17.48596239487905
1,Chihuahua,704482863.625,16.005811292242704
1,Chihuahua_aggregate(31),637924656.0,19.002762633663313
1,Chilpancingo de los Bravo,124363989.4375,18.430545160962044
