T,mun,plant,sales,freight,revenue,ebitda
0,Cajeme,Imports,0.0,0.0,0.0,-0.0
0,Cajeme,Madero Refinery,0.0,0.0,0.0,0.0
0,Cajeme,Minatitlan Refinery,0.0,0.0,0.0,0.0
0,Cajeme,Salamanca Refinery,0.0,0.0,0.0,0.0
0,Cajeme,Salina Cruz Refinery,0.0,0.0,0.0,0.0
0,Cajeme,Tula Refinery,0.0,0.0,0.0,0.0
0,Campeche,Cadereyta Refinery,0.0,0.0,0.0,0.0
0,Campeche,Cangrejera Refinery,0.0,0.0,0.0,0.0
0,Campeche,Dos Bocas Refinery,0.0,0.0,0.0,0.0
0,Campeche,Imports,0.0,0.0,0.0,-0.0
0,Campeche,Madero Refinery,0.0,0.0,0.0,0.0
0,Campeche,Minatitlan Refinery,0.0,0.0,0.0,0.0
0,Campeche,Salamanca Refinery,0.0,0.0,0.0,0.0
0,Campeche,Salina Cruz Refinery,0.0,0.0,0.0,0.0
0,Campeche,Tula Refinery,0.0,0.0,0.0,0.0
0,Campeche_aggregate(10),Cadereyta Refinery,0.0,0.0,0.0,0.0
0,Campeche_aggregate(10),Cangrejera Refinery,0.0,0.0,0.0,0.0
0,Campeche_aggregate(10),Dos Bocas Refinery,0.0,0.0,0.0,0.0
0,Campeche_aggregate(10),Imports,0.0,0.0,0.0,-0.0
0,Campeche_aggregate(10),Madero Refinery,0.0,0.0,0.0,0.0
0,Campeche_aggregate(10),Minatitlan Refinery,0.0,0.0,0.0,0.0
0,Campeche_aggregate(10),Salamanca Refinery,0.0,0.0,0.0,0.0
0,Campeche_aggregate(10),Salina Cruz Refinery,0.0,0.0,0.0,0.0
0,Campeche_aggregate(10),Tula Refinery,0.0,0.0,0.0,0.0
0,Carmen,Cadereyta Refinery,0.0,0.0,0.0,0.0
0,Carmen,Cangrejera Refinery,0.0,0.0,0.0,0.0
0,Carmen,Dos Bocas Refinery,0.0,0.0,0.0,0.0
0,Carmen,Imports,0.0,0.0,0.0,-0.0
0,Carmen,Madero Refinery,0.0,0.0,0.0,0.0
0,Carmen,Minatitlan Refinery,0.0,0.0,0.0,0.0
0,Carmen,Salamanca Refinery,0.0,0.0,0.0,0.0
0,Carmen,Salina Cruz Refinery,0.0,0.0,0.0,0.0
0,Carmen,Tula Refinery,0.0,0.0,0.0,0.0
0,Celaya,Cadereyta Refinery,0.0,0.0,0.0,0.0
0,Celaya,Cangrejera Refinery,0.0,0.0,0.0,0.0
0,Celaya,Dos Bocas Refinery,0.0,0.0,0.0,0.0
0,Celaya,Imports,0.0,0.0,0.0,-0.0
0,Celaya,Madero Refinery,0.0,0.0,0.0,0.0
0,Celaya,Minatitlan Refinery,0.0,0.0,0.0,0.0
0,Celaya,Salamanca Refinery,0.0,0.0,0.0,0.0
0,Celaya,Salina Cruz Refinery,0.0,0.0,0.0,0.0
0,Celaya,Tula Refinery,0.0,0.0,0.0,0.0
0,Centro,Cadereyta Refinery,0.0,0.0,0.0,0.0
0,Centro,Cangrejera Refinery,0.0,0.0,0.0,0.0
0,Centro,Dos Bocas Refinery,0.0,0.0,0.0,0.0
0,Centro,Imports,0.0,0.0,0.0,-0.0
0,Centro,Madero Refinery,0.0,0.0,0.0,0.0
0,Centro,Minatitlan Refinery,0.0,0.0,0.0,0.0
0,Centro,Salamanca Refinery,0.0,0.0,0.0,0.0
0,Centro,Salina Cruz Refinery,0.0,0.0,0.0,0.0
0,Centro,Tula Refinery,0.0,0.0,0.0,0.0
0,Chiapas_aggregate(123),Cadereyta Refinery,0.0,0.0,0.0,0.0
0,Chiapas_aggregate(123),Cangrejera Refinery,0.0,0.0,0.0,0.0
0,Chiapas_aggregate(123),Dos Bocas Refinery,0.0,0.0,0.0,0.0
0,Chiapas_aggregate(123),Imports,0.0,0.0,0.0,-0.0
0,Chiapas_aggregate(123),Madero Refinery,0.0,0.0,0.0,0.0
0,Chiapas_aggregate(123),Minatitlan Refinery,0.0,0.0,0.0,0.0
0,Chiapas_aggregate(123),Salamanca Refinery,0.0,0.0,0.0,0.0
0,Chiapas_aggregate(123),Salina Cruz Refinery,0.0,0.0,0.0,0.0
0,Chiapas_aggregate(123),Tula Refinery,0.0,0.0,0.0,0.0
0,Chihuahua,Cadereyta Refinery,0.0,0.0,0.0,0.0
0,Chihuahua,Cangrejera Refinery,0.0,0.0,0.0,0.0
0,Chihuahua,Dos Bocas Refinery,0.0,0.0,0.0,0.0
0,Chihuahua,Imports,0.0,0.0,0.0,-0.0
0,Chihuahua,Madero Refinery,0.0,0.0,0.0,0.0
0,Chihuahua,Minatitlan Refinery,0.0,0.0,0.0,0.0
0,Chihuahua,Salamanca Refinery,0.0,0.0,0.0,0.0
0,Chihuahua,Salina Cruz Refinery,0.0,0.0,0.0,0.0
0,Chihuahua,Tula Refinery,0.0,0.0,0.0,0.0
0,Chihuahua_aggregate(65),Cadereyta Refinery,0.0,0.0,0.0,0.0
0,Chihuahua_aggregate(65),Cangrejera Refinery,0.0,0.0,0.0,0.0
0,Chihuahua_aggregate(65),Dos Bocas Refinery,0.0,0.0,0.0,0.0
0,Chihuahua_aggregate(65),Imports,0.0,0.0,0.0,-0.0
0,Chihuahua_aggregate(65),Madero Refinery,0.0,0.0,0.0,0.0
0,Chihuahua_aggregate(65),Minatitlan Refinery,0.0,0.0,0.0,0.0
0,Chihuahua_aggregate(65),Salamanca Refinery,0.0,0.0,0.0,0.0
0,Chihuahua_aggregate(65),Salina Cruz Refinery,0.0,0.0,0.0,0.0
0,Chihuahua_aggregate(65),Tula Refinery,0.0,0.0,0.0,0.0
0,Chilpancingo de los Bravo,Cadereyta Refinery,0.0,0.0,0.0,0.0
0,Chilpancingo de los Bravo,Cangrejera Refinery,0.0,0.0,0.0,0.0
0,Chilpancingo de los Bravo,Dos Bocas Refinery,0.0,0.0,0.0,0.0
0,Chilpancingo de los Bravo,Imports,0.0,0.0,0.0,-0.0
0,Chilpancingo de los Bravo,Madero Refinery,0.0,0.0,0.0,0.0
0,Chilpancingo de los Bravo,Minatitlan Refinery,0.0,0.0,0.0,0.0
0,Chilpancingo de los Bravo,Salamanca Refinery,0.0,0.0,0.0,0.0
0,Chilpancingo de los Bravo,Salina Cruz Refinery,0.0,0.0,0.0,0.0
0,Chilpancingo de los Bravo,Tula Refinery,0.0,0.0,0.0,0.0
0,Ciudad de México_aggregate(14),Cadereyta Refinery,0.0,0.0,0.0,0.0
0,Ciudad de México_aggregate(14),Cangrejera Refinery,0.0,0.0,0.0,0.0
0,Ciudad de México_aggregate(14),Dos Bocas Refinery,0.0,0.0,0.0,0.0
0,Ciudad de México_aggregate(14),Imports,0.0,0.0,0.0,-0.0
0,Ciudad de México_aggregate(14),Madero Refinery,0.0,0.0,0.0,0.0
0,Ciudad de México_aggregate(14),Minatitlan Refinery,0.0,0.0,0.0,0.0
0,Ciudad de México_aggregate(14),Salamanca Refinery,0.0,0.0,0.0,0.0
0,Ciudad de México_aggregate(14),Salina Cruz Refinery,0.0,0.0,0.0,0.0
0,Ciudad de México_aggregate(14),Tula Refinery,0.0,0.0,0.0,0.0
0,Coahuila de Zaragoza_aggregate(36),Cadereyta Refinery,0.0,0.0,0.0,0.0
0,Coahuila de Zaragoza_aggregate(36),Cangrejera Refinery,0.0,0.0,0.0,0.0
0,Coahuila de Zaragoza_aggregate(36),Dos Bocas Refinery,0.0,0.0,0.0,0.0
0,Coahuila de Zaragoza_aggregate(36),Imports,0.0,0.0,0.0,-0.0
0,Coahuila de Zaragoza_aggregate(36),Madero Refinery,0.0,0.0,0.0,0.0
0,Coahuila de Zaragoza_aggregate(36),Minatitlan Refinery,0.0,0.0,0.0,0.0
0,Coahuila de Zaragoza_aggregate(36),Salamanca Refinery,0.0,0.0,0.0,0.0
0,Coahuila de Zaragoza_aggregate(36),Salina Cruz Refinery,0.0,0.0,0.0,0.0
0,Coahuila de Zaragoza_aggregate(36),Tula Refinery,0.0,0.0,0.0,0.0
0,Colima_aggregate(10),Cadereyta Refinery,0.0,0.0,0.0,0.0
0,Colima_aggregate(10),Cangrejera Refinery,0.0,0.0,0.0,0.0
0,Colima_aggregate(10),Dos Bocas Refinery,0.0,0.0,0.0,0.0
0,Colima_aggregate(10),Imports,0.0,0.0,0.0,-0.0
0,Colima_aggregate(10),Madero Refinery,0.0,0.0,0.0,0.0
0,Colima_aggregate(10),Minatitlan Refinery,0.0,0.0,0.0,0.0
0,Colima_aggregate(10),Salamanca Refinery,0.0,0.0,0.0,0.0
0,Colima_aggregate(10),Salina Cruz Refinery,0.0,0.0,0.0,0.0
0,Colima_aggregate(10),Tula Refinery,0.0,0.0,0.0,0.0
0,Corregidora,Cadereyta Refinery,0.0,0.0,0.0,0.0
0,Corregidora,Cangrejera Refinery,0.0,0.0,0.0,0.0
0,Corregidora,Dos Bocas Refinery,0.0,0.0,0.0,0.0
0,Corregidora,Imports,0.0,0.0,0.0,-0.0
0,Corregidora,Madero Refinery,0.0,0.0,0.0,0.0
0,Corregidora,Minatitlan Refinery,0.0,0.0,0.0,0.0
0,Corregidora,Salamanca Refinery,0.0,0.0,0.0,0.0
